,CustomerID,InvoiceDate,recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,RFM_Segment,customer_segment
0,12346.0,2011-01-18 10:01:00,325,1,77183.6,3.75,0.84,0.84,0.13,Low Value,Lost
1,12347.0,2011-12-07 15:52:00,1,182,4310.0,97.92,88.11,88.11,8.96,High Value,Potential Loyalists
2,12348.0,2011-09-25 13:13:00,74,31,1797.24,38.5,42.12,42.12,4.16,Mid Value,At Risk Customers
3,12349.0,2011-11-21 09:51:00,18,73,1757.55,74.12,66.57,66.57,6.77,High Value,Can't Lose
4,12350.0,2011-02-02 16:01:00,309,17,334.4,5.37,24.93,24.93,2.2,Low Value,At Risk Customers
5,12352.0,2011-11-03 14:37:00,35,85,2506.04,58.64,70.55,70.55,6.88,High Value,Can't Lose
6,12353.0,2011-05-19 17:47:00,203,4,89.0,16.98,4.71,4.71,0.66,Low Value,Lost
7,12354.0,2011-04-21 13:11:00,231,58,1079.4,14.05,59.98,59.98,5.31,Mid Value,Can't Lose
8,12355.0,2011-05-09 13:49:00,213,13,459.4,15.72,19.2,19.2,1.87,Low Value,Lost
9,12356.0,2011-11-17 08:40:00,22,59,2811.43,69.95,60.47,60.47,6.19,Mid Value,Can't Lose
10,12357.0,2011-11-06 16:07:00,32,131,6207.67,60.27,81.85,81.85,7.86,High Value,Potential Loyalists
11,12358.0,2011-12-08 10:26:00,1,19,1168.06,97.92,27.52,27.52,3.81,Mid Value,At Risk Customers
12,12359.0,2011-10-13 12:47:00,57,248,6372.58,46.89,92.39,92.39,8.56,High Value,Potential Loyalists
13,12360.0,2011-10-18 15:22:00,51,129,2662.06,49.71,81.5,81.5,7.67,High Value,Potential Loyalists
14,12361.0,2011-02-25 13:51:00,286,10,189.9,7.33,14.35,14.35,1.33,Low Value,Lost
15,12362.0,2011-12-06 15:40:00,2,266,5226.23,95.88,93.14,93.14,9.36,High Value,Champions
16,12363.0,2011-08-22 10:18:00,109,23,552.0,30.01,32.73,32.73,3.23,Low Value,At Risk Customers
17,12364.0,2011-12-02 10:22:00,7,85,1313.1,88.41,70.55,70.55,7.32,High Value,Potential Loyalists
18,12365.0,2011-02-21 14:04:00,290,22,641.38,6.84,31.59,31.59,2.79,Low Value,At Risk Customers
19,12367.0,2011-12-05 16:48:00,3,11,168.9,93.55,16.1,16.1,2.77,Low Value,At Risk Customers
20,12370.0,2011-10-19 14:51:00,50,167,3545.69,50.44,86.76,86.76,8.13,High Value,Potential Loyalists
21,12371.0,2011-10-26 10:16:00,44,63,1887.96,53.3,62.55,62.55,6.12,Mid Value,Can't Lose
22,12372.0,2011-09-29 12:12:00,71,52,1298.04,40.15,56.82,56.82,5.43,Mid Value,Can't Lose
23,12373.0,2011-02-01 13:10:00,310,14,364.6,5.21,20.65,20.65,1.83,Low Value,Lost
24,12374.0,2011-11-14 15:37:00,24,33,742.93,67.53,43.79,43.79,4.73,Mid Value,At Risk Customers
25,12375.0,2011-11-29 10:36:00,10,17,457.5,83.4,24.93,24.93,3.37,Low Value,At Risk Customers
26,12377.0,2011-01-28 15:45:00,314,77,1628.12,4.72,67.95,67.95,5.85,Mid Value,Can't Lose
27,12378.0,2011-08-02 10:34:00,129,219,4008.62,26.97,91.01,91.01,8.14,High Value,Potential Loyalists
28,12379.0,2011-09-19 10:09:00,81,40,852.24,35.94,49.18,49.18,4.72,Mid Value,At Risk Customers
29,12380.0,2011-11-18 11:27:00,21,104,2724.81,71.37,76.18,76.18,7.55,High Value,Potential Loyalists
30,12381.0,2011-12-05 12:44:00,4,87,1845.31,91.52,71.34,71.34,7.44,High Value,Potential Loyalists
31,12383.0,2011-06-08 08:02:00,184,99,1850.56,19.49,74.72,74.72,6.64,High Value,Can't Lose
32,12384.0,2011-11-11 08:39:00,28,27,585.27,64.28,37.09,37.09,4.12,Mid Value,At Risk Customers
33,12386.0,2011-01-06 12:37:00,337,10,401.9,2.84,14.35,14.35,1.26,Low Value,Lost
34,12388.0,2011-11-24 12:30:00,15,100,2780.66,78.42,74.99,74.99,7.55,High Value,Potential Loyalists
35,12390.0,2011-09-21 09:33:00,79,32,549.84,36.61,43.01,43.01,4.2,Mid Value,At Risk Customers
36,12391.0,2011-11-18 12:07:00,21,100,460.89,71.37,74.99,74.99,7.45,High Value,Potential Loyalists
37,12393.0,2011-09-28 15:41:00,71,64,1582.6,40.15,63.08,63.08,5.96,Mid Value,Can't Lose
38,12394.0,2011-10-07 08:08:00,63,27,1272.48,43.9,37.09,37.09,3.81,Mid Value,At Risk Customers
39,12395.0,2011-11-20 15:21:00,18,156,3018.63,74.12,85.39,85.39,8.37,High Value,Potential Loyalists
40,12397.0,2011-11-04 09:52:00,35,126,2409.9,58.64,80.92,80.92,7.76,High Value,Potential Loyalists
41,12398.0,2011-10-25 10:27:00,45,85,1635.66,52.63,70.55,70.55,6.79,High Value,Can't Lose
42,12399.0,2011-08-12 13:15:00,118,59,1108.65,28.64,60.47,60.47,5.57,Mid Value,Can't Lose
43,12401.0,2011-02-09 13:50:00,302,5,84.3,6.0,6.1,6.1,0.61,Low Value,Lost
44,12402.0,2011-01-20 13:49:00,322,11,225.6,3.99,16.1,16.1,1.43,Low Value,Lost
45,12403.0,2011-10-21 10:51:00,49,5,427.7,51.19,6.1,6.1,1.29,Low Value,Lost
46,12405.0,2011-07-14 08:52:00,148,54,1710.39,24.48,58.11,58.11,5.31,Mid Value,Can't Lose
47,12406.0,2011-11-17 19:22:00,21,105,3415.3,71.37,76.46,76.46,7.57,High Value,Potential Loyalists
48,12407.0,2011-10-21 10:11:00,49,77,1708.12,51.19,67.95,67.95,6.54,High Value,Can't Lose
49,12408.0,2011-11-07 12:27:00,32,105,2888.55,60.27,76.46,76.46,7.4,High Value,Potential Loyalists
50,12409.0,2011-09-22 10:38:00,78,109,11072.67,36.99,77.39,77.39,7.13,High Value,Potential Loyalists
51,12410.0,2011-02-04 10:39:00,308,26,693.33,5.5,36.0,36.0,3.14,Low Value,At Risk Customers
52,12412.0,2011-09-26 10:16:00,74,61,1226.88,38.5,61.51,61.51,5.81,Mid Value,Can't Lose
53,12413.0,2011-10-04 09:00:00,66,38,758.1,42.02,47.63,47.63,4.68,Mid Value,At Risk Customers
54,12414.0,2011-05-06 14:51:00,216,18,562.41,15.42,26.16,26.16,2.45,Low Value,At Risk Customers
55,12415.0,2011-11-15 14:22:00,23,716,124914.53,68.68,99.24,99.24,9.47,High Value,Champions
56,12417.0,2011-12-06 14:52:00,2,192,3649.1,95.88,88.78,88.78,8.98,High Value,Potential Loyalists
57,12418.0,2011-08-19 11:08:00,112,34,668.58,29.63,44.63,44.63,4.24,Mid Value,At Risk Customers
58,12420.0,2011-10-07 08:55:00,63,29,600.39,43.9,39.8,39.8,4.04,Mid Value,At Risk Customers
59,12421.0,2011-11-24 09:07:00,15,45,807.04,78.42,52.65,52.65,5.65,Mid Value,Can't Lose
60,12422.0,2011-09-05 09:48:00,95,39,803.56,32.47,48.43,48.43,4.6,Mid Value,At Risk Customers
61,12423.0,2011-12-09 10:10:00,0,125,1859.31,100.0,80.74,80.74,8.36,High Value,Potential Loyalists
62,12424.0,2011-06-30 12:06:00,162,30,1760.96,22.48,41.05,41.05,3.83,Mid Value,At Risk Customers
63,12425.0,2011-09-22 17:31:00,77,36,777.2,37.54,46.29,46.29,4.5,Mid Value,At Risk Customers
64,12426.0,2011-05-29 12:26:00,194,30,582.73,18.12,41.05,41.05,3.76,Mid Value,At Risk Customers
65,12427.0,2011-11-18 08:56:00,21,31,825.8,71.37,42.12,42.12,4.65,Mid Value,At Risk Customers
66,12428.0,2011-11-14 08:22:00,25,294,7956.46,66.42,94.26,94.26,9.01,High Value,Champions
67,12429.0,2011-11-30 17:22:00,8,97,3750.4,86.75,74.03,74.03,7.59,High Value,Potential Loyalists
68,12430.0,2011-10-27 15:09:00,42,11,256.4,54.59,16.1,16.1,2.19,Low Value,At Risk Customers
69,12431.0,2011-11-04 11:55:00,35,236,6487.45,58.64,91.88,91.88,8.69,High Value,Potential Loyalists
70,12432.0,2011-10-28 11:43:00,42,108,5059.32,54.59,77.13,77.13,7.37,High Value,Potential Loyalists
71,12433.0,2011-12-09 10:02:00,0,420,13375.87,100.0,97.18,97.18,9.76,High Value,Champions
72,12434.0,2011-09-16 12:38:00,84,50,806.14,35.34,55.77,55.77,5.27,Mid Value,Can't Lose
73,12435.0,2011-09-21 09:06:00,79,36,7829.89,36.61,46.29,46.29,4.48,Mid Value,At Risk Customers
74,12436.0,2011-09-01 12:09:00,99,16,509.01,31.76,23.6,23.6,2.48,Low Value,At Risk Customers
75,12437.0,2011-12-08 11:35:00,1,200,4951.41,97.92,89.5,89.5,9.08,High Value,Champions
76,12438.0,2011-11-25 13:28:00,13,98,2906.85,80.67,74.38,74.38,7.53,High Value,Potential Loyalists
77,12441.0,2010-12-08 10:45:00,366,11,173.55,1.27,16.1,16.1,1.39,Low Value,Lost
78,12442.0,2011-12-06 14:22:00,2,12,172.06,95.88,17.72,17.72,2.94,Low Value,At Risk Customers
79,12444.0,2011-11-18 13:23:00,20,177,5005.46,72.43,87.65,87.65,8.54,High Value,Potential Loyalists
80,12445.0,2011-11-17 18:43:00,21,4,133.4,71.37,4.71,4.71,1.47,Low Value,Lost
81,12446.0,2011-10-13 12:50:00,57,58,1002.31,46.89,59.98,59.98,5.8,Mid Value,Can't Lose
82,12447.0,2011-04-10 13:25:00,242,26,476.49,12.47,36.0,36.0,3.25,Low Value,At Risk Customers
83,12448.0,2011-10-26 13:46:00,43,22,449.45,53.95,31.59,31.59,3.49,Mid Value,At Risk Customers
84,12449.0,2011-11-17 13:46:00,21,191,4067.29,71.37,88.65,88.65,8.61,High Value,Potential Loyalists
85,12450.0,2011-07-06 14:41:00,155,8,197.88,23.54,10.96,10.96,1.28,Low Value,Lost
86,12451.0,2011-11-29 08:40:00,10,354,9035.52,83.4,96.06,96.06,9.42,High Value,Champions
87,12452.0,2011-11-23 10:28:00,16,22,430.57,76.96,31.59,31.59,3.84,Mid Value,At Risk Customers
88,12453.0,2011-07-28 14:08:00,133,43,707.09,26.38,51.43,51.43,4.77,Mid Value,At Risk Customers
89,12454.0,2011-10-14 17:13:00,55,15,3528.34,47.93,22.16,22.16,2.6,Low Value,At Risk Customers
90,12455.0,2011-09-27 15:31:00,72,90,2466.86,39.61,72.24,72.24,6.73,High Value,Can't Lose
